sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
271,0.175896332,4.03960371,968.9069391,30.27834185,47.965,-119.022,0.140350001
272,0.173927233,3.99940896,84.76070977,2.64877218,47.988,-118.863,6.779673884
273,0.170351163,3.926548958,33.58512334,1.049535104,48.011,-118.704,13.27699808
274,0.160689265,3.781299591,28.04371479,0.876366087,48.125,-117.908,6.343794299
275,0.15868935,3.763657331,372.4056,11.637675,48.148,-117.748,0.741488106
276,0.159645453,3.769965649,185.1436934,5.785740417,48.17,-117.588,15.40773189
277,0.157803029,3.729376554,51.58944185,1.612170058,48.192,-117.428,7.14497004
278,0.155896232,3.708643675,513.2238152,16.03824423,48.214,-117.268,5.869147604
279,0.154543772,3.69126153,234.6707637,7.333461365,48.235,-117.108,6.662844661
280,0.152631193,3.651364565,85.11753691,2.659923029,48.257,-116.948,6.351426738
281,0.15007928,3.586944103,65.11622827,2.034882133,48.278,-116.787,7.786969633
282,0.14976193,3.584905148,212.6744859,6.646077686,48.299,-116.627,3.591425975
283,0.151262343,3.622691631,999.8026805,31.24383376,48.32,-116.466,65.51887136
284,0.154037207,3.655722618,10.83715334,0.338661042,48.341,-116.305,2.79444995
285,0.153321773,3.675041437,40.27737261,1.258667894,48.443,-115.5,1.830605878
286,0.148825079,3.525120974,11.03039846,0.344699952,48.541,-114.691,5.355395822
287,0.147412375,3.507963657,731.9103047,22.87219702,48.56,-114.529,118.9457734
288,0.168711469,3.824933052,454.8957152,14.2154911,48.707,-113.229,49.36026775
289,0.168804511,3.834832191,1292.862009,40.40193779,48.725,-113.066,133.3755808
290,0.170558229,3.858306408,945.8317477,29.55724211,48.742,-112.903,136.9984759
291,0.170925051,3.849887848,495.2842453,15.47763267,48.759,-112.74,140.9528111
292,0.170953736,3.856753111,206.3494143,6.448419196,48.776,-112.576,15.70982334
293,0.171307221,3.854604959,1522.551431,47.57973223,48.793,-112.413,149.7694896
294,0.171014935,3.850295544,1540.7496,48.148425,48.81,-112.249,154.5841072
295,0.170975462,3.84616971,2820.93435,88.15419844,48.827,-112.086,159.6067213
296,0.170061648,3.845446587,1413.282178,44.16506807,48.843,-111.922,164.7991242
297,0.170134857,3.843838453,218.6625691,6.833205286,48.859,-111.758,57.6208203
298,0.169086367,3.828330994,11.00448083,0.343890026,48.876,-111.594,11.44854041
299,0.167649969,3.791335583,722.6631422,22.58322319,48.892,-111.43,165.7485191
300,0.166230947,3.760866642,435.1083961,13.59713738,48.907,-111.266,166.1331194
301,0.152999982,3.583999872,0.288000014,0.009,47.269,-68.719,7.367373056
302,0.152299613,3.575963974,214.5398273,6.704369604,47.241,-68.564,0.669599948
303,0.153916359,3.574729204,213.9309984,6.685343701,47.213,-68.41,2.907732713
304,0.154503256,3.579353809,271.6162875,8.488008984,47.185,-68.255,9.242348929
